paper,date,page,chunk_idx,similarity,matched_query,event_type,description,location,participants,date_mentioned,source_text
iowa-bystander,1921-09-22,1,7,0.536,delegates to annual conference demands equal rights and attacks lynching,demonstration,New Jersey American Legion convention unanimously adopted a resolution against the KKK and class hate.,"Asbury Park, N.J.",New Jersey American Legion members,"September 22, 1921","American Legion Against K.K.K Jersey Convention Warns Against Class Hate

Asbury Park, N. J., Sept. 22.—In a wild uproar of enthusiasm the New Jersey American Legion convention tonight adopted unanimously a resolution

IAS d Time

Whites SaysNo Vialation of Law Warrants Lynching

Atlanta, Sept. 22.—""We find in our hearts no extenuation for crime, no violation of womanhood, mob violence or the illegal taking of human life,"" reads a statement just issued by a special section of the Georgia State C"
new-york-age,1919-05-03,1,0,0.536,a committee of prominent colored citizens called upon the governor to present a petition,delegation,Colored voters and members of the Republican Council of New York State met to adopt resolutions demanding representation on the Republican State Committee and greater political patronage.,"Albany, New York","Executive committee of the Republican Council of the State of New York, comprised of colored men and women delegates from various sections of the State","April 23, 1919","Physicians Ask for Square Deal at the Harlem Hospital For Quality Read The New York Age Excels in News and Opinion. The New York Age 2ND EDITION THE NEWS AS IT IS

Demand Recognition on Republican State Committee TWO NATIONS HONOR HEROES OF THE OLD FIFTEENTH

VOL. XXXII. NO. 32.

Demand

TWO NA

Colored Voters of New York State Ask G.O.P for More Political Patronage.

(Special to The New York Am)

ALBANY, N. X.—Representation on the Republican State Committee of one man and one woman, a more equ"
denver-star,1918-03-16,1,1,0.536,national association made public telegrams sent to governors with reference to lynchings,delegation,The National Association for the Advancement of Colored People sent a telegram of protest to the Governor of Louisiana against the lynching of three African Americans.,Louisiana,"National Association for the Advancement of Colored People, Secretary John R. Shillady","February 26, 1918","Enlisting in the French army in August, 1914. he was in a battle four miles from Rheims when a German rifle bullet traversed his leg. He received another leg wound at Rheims in March, 1915; when exhausted and cold he spent eighteen hours on the ground with nothing to eat. After being sent to Algeria for convalescence he next took part in the Dardanelles expedition under General Gouraud.

The French advanced more than four miles to Sedul Bahr where they were forced to entrench. Here he was twice "
kansas-city-advocate,1922-04-07,1,0,0.536,speakers denounced the lynching and called for federal legislation to stop mob rule,mass_meeting,"A large NAACP meeting where Congressman L. C. Dyer spoke to over 1,500 people about his Anti-Lynch bill and efforts to combat lynching and mob violence against African Americans.","First A. M. E. church, Kansas City","Over 1,500 people, NAACP officials, Congressman L. C. Dyer, Mayor H. B. Burton, clergy members","April 3, 1922","KANSAS

A NIGHT OF COLLEGE LIFE
""DO MEN GOSSIP?""
COMEDY PRESENTED BY
EPSILON (Kansas University Chapter)
ALPHA PHI ALPHA FRATERNITY
GEORGE HAMILTON, DRAMATIC READER
ALEX GATEWOOD, TENOR
UPSILON ORCHESTRA, Neal Herriford, Director
HELD UNDER THE AUSPICES OF THE
GO-TO-SCHOOL, GO-TO-COLLEGE CAMPAIGN
COMMITTEE OF THE
ALPHA PHI ALPHA FRATERNITY
AT
LINCOLN HIGH SCHOOL
APRIL 15, 1922 — 8:30 P.M.
Admission, Adults 25c; Children 15c

Vol. VIII

W. U. OI

CONGRESSMAN L.
C. DYER SPEAKS
TO LARGE CROWD

More"
denver-star,1913-09-06,1,0,0.536,colored citizens object to history textbooks and railroad discrimination,petition,A call for all colored Americans and friends to protest to Washington against Post Office segregation following a court ruling that struck down the Civil Rights Act.,Washington,Colored Americans and friends,,"-Let All Colored Americans and Friends Protest to Washington Against Post Office Segregation

The Denver Star ESTABLISHED 1888

The papers formerly known as The Statesman and The Independent, have been merged into The Denver Star

TWENTY-SIXTH YEAR. Number 3 DENVER, COLORADO, SATURDAY, SEPT. 6, 1913 FIVE CENTS A COPY.

the plaintiff, a Colored woman holding a first-class ticket for passage on a steamer plying between Boston and Norfolk and being denied first-class accommodation on account of her"
negro-world,1921-07-09,1,8,0.535,delegates to annual conference demands equal rights and attacks lynching,mass_meeting,"NAACP convention in Detroit addressing peonage, lynching, and labor solidarity for Black workers, with calls for federal anti-lynching legislation and workers' organizing.","Detroit, Michigan; Central High School","NAACP convention delegates, U.S. Bratton (former United States Attorney)","June 22, 1921","There is only one, appeal to stop the massacre and blight the Negroes' language, that the bloody capitalists of America, can understand in the language of organized power.""

""Only by force, repressal, by answering force with will, business men and their white guard, the Ke Kluz Klan, etc., be restrained from their assault on the Negroes and the working people.""
Labor was criticized, for its attitude toward the Negroes, follows:
Warga Requisition
""We've failed to organize the Negro and refused to"
dallas-express,1923-04-07,1,4,0.535,delegates to annual conference demands equal rights and attacks lynching,mass_meeting,Six organizations issued a call for an All-Race Conference to address civil rights matters and racial concerns.,New York,"Six civil rights organizations, with Kelly Miller involved in organizing",April 23-24 (implied for the conference),"NECESSITY MAY FORCE RE-APPOINTMENT OF COHEN BY PRESIDENT.

SIX ORGANIZATIONS MEET WITH KELLY MILLER AND ISSUE CALL FOR GREATEST RACE CONFERENCE IN HISTORY.

NEW YORK LIBRARIAN
UNIVERSITY OF TEXAS
AUSTIN TEXAS

The Day

""The Republican Pr

THE DALLAS EX

FOUND

of

n,

NECESSITY M

UNION OF M. E. CHURCHES
MAY BE ACCOMPLISHED
SOON.

(By A. N. P.)

St. Louis—The northern and eastern sides of the Metropolitan Episcopal Church finally have reached a general agreement upon unification of the two bodie"
broad-ax,1913-06-28,1,5,0.535,a committee of prominent colored citizens called upon the governor to present a petition,delegation|petition,Delegations and petitions came to the executive chamber requesting that Governor Sulzer veto a bill creating a Negro regiment in the National Guard.,New York executive chamber,"Adjutant General Henry Dewitt Hamilton, Major Edward Schermerhorn, lesser officers in the national guard, and various delegations","Past three weeks prior to June 28, 1913","The bill creating the regiment was sent to Mayor Gaynor for action, but he returned it with the note that it was not a city bill, in his judgment.

Attorney General Carmody had pre-

Adjutant General Henry Dewitt Hamilton, Major Edward Schermerhorn, the Governor's military secretary, and many of the lesser officers in the national guard opposed the bill, according to the Governor, and almost daily for the past three weeks delegations or petitions came to the executive chamber asking that the bil"
colorado-statesman,1916-07-22,1,8,0.535,delegates to annual conference demands equal rights and attacks lynching,other,"The N.A.A.C.P. launched a campaign to raise an anti-lynching fund of $10,000 following the lynching of Jesse Washington in Waco, Texas, distributing 50,000 copies of the lynching account.","New York City (N.A.A.C.P. headquarters); Waco, Texas (lynching location)","N.A.A.C.P., Judge Moorfield Storey, Philip G. Peabody, Oswald Garrison Villard, and the citizenry",1916-07-22,"The average colored man complains a good deal about the lack of a certain kind of news in the Afro-American paper and that is the excuse offered by some of the big ""guns"" for not subscribing to the Colored papers. But after all, isn't it a fact that the little weekly Afro-American journal is the life of every community? After one of these gentlemen have tried of reading of the police court records, mobs and burning recitals of their people, they turn keen appreciations to the Afro-American journ"
broad-ax,1917-07-21,1,6,0.535,speakers denounced the lynching and called for federal legislation to stop mob rule,delegation,A committee delegation met with Governor Lowden to present charges against the mob responsible for the East St. Louis race riots and demand protection and justice for victims.,"East St. Louis, Illinois","Committee members including Dr. D. W. Cook, Rev. J. W. Robinson, H. A. Watkins, Lucius W. Washington, Mrs. Wm. Farrow, and Mrs. Ida B. Wells-Barnett; Governor Lowden",July 3rd (riots date); conference date not specified but article dated 1917-07-21,"Upon these serious charges which the committee supported by newspaper reports and experiences related to members of the committee by victims of the mob the conference was frank and earnest; both sides desiring to determine upon the best way to fix responsibility upon all who aided and abetted the mob. So far as the militia was concerned the Governor gave his assurance that the charges would be fully investigated and if proper, a court martial would be ordered. Since the conference a court martia"
omaha-monitor,1924-06-20,1,0,0.535,delegates to annual conference demands equal rights and attacks lynching,mass_meeting,"The N.A.A.C.P. organized a Sunday mass meeting to address segregation and racial injustice issues, with proceedings to be broadcast by radio.","Philadelphia, Pennsylvania",National Association for the Advancement of Colored People (N.A.A.C.P.),"June 29, 1924","SEGREGATION IS BEFORE SUPREME COURT

SUNDAY MASS MEETING N.A.A.C.P. TO BE BROADCAST OVER RADIO

LIFTING
LIFT TOO

$2.00 a Year. 5c a Copy

SEGRE

SEVERAL SOUTHERN STATES MAKE SAD MOCKERY OF JUSTICE

Uncertain Testimony of White Womes
Sends Negroes to Cruel Death,
While Black Women May
Be Freely Insulted

LEADING DAILY SPEAKS OUT

Baltimore Sun Calls Attention to Contrast In Treatment of Races and Deplores Double Standard.

Baltimore, Md., June 20.—The Baltimore Sun, one of the leading white dail"
houston-informer,1928-04-21,1,4,0.534,questionnaires sent to presidential aspirants regarding their stance on racial equality,other,"Waiters refused to serve at a banquet for Governor McLane, in protest against being displaced by girls and students.","Elizabeth City, N.C.",Colored waiters and students,,"WAITERS REFUSED TO SERVE McLEAN

Elizabeth City, N. C.—(ANP)—Because they reported tests that were to be displaced by girls, waiters and students, When the waiters took of their coats preparations were being made for a banquet for Governor McAnne McLane for the graduation to students of the colored state normal school. The hotel management was success in securing students to attend the graduation. The waiters were colored.

PYTHIANS TO HOLD BIG CELEBRATION

The joint body of Knights of Pythian a"
negro-world,1922-07-29,1,2,0.535,a large procession of Negro men and women marched through the streets bearing signs,parade,"A massive parade through Harlem streets organized by the Universal Negro Improvement Association as part of their national convention, featuring 150,000 participants and representatives from across the world.","Harlem, New York City","Leaders of the Universal Negro Improvement Association, 15,000 Negro preachers, lawyers, doctors, professional men, commercial and industrial workers, and laborers","August 31, 1922","On the opening night, at the 71st Regiment Armory in New York City, the leaders of the Universal Negro Improvement Association and the spokesman of the four hundred million Negroes of the world will declare the policy of the race, and it is expected that a new world attitude will be assumed immediately after. The convention will be made up of men representative of all walks of life. Fifteen thousand Negro preachers will form part of the assembly, as well as thousands of lawyers, doctors and othe"
omaha-monitor,1921-09-01,1,2,0.534,delegates to annual conference demands equal rights and attacks lynching,petition,"A committee on racial conditions presented an appeal to the president, members of Congress, governors and other public officials calling for a firm stand against mob rule, adopted by the supreme lodge.",Not specified,"Supreme lodge committee on racial conditions including J. H. P. Westbrook (Colorado, chairman), John W. Robinson (Illinois, secretary), and other committee members",Not specified for the appeal presentation,"WANTS TO REFORM

JACK JOHNSON
NEWARK, N. J., Aug. 24—In an effort to have Jack Johnson abandon the ring and devote himself to uplift work, Rev. S. L. Corruthers, pastor of Roosevelt Memorial Temple, had Jack Johnson to address his congregation last Sunday night.

Sherman, Texas, supreme medical registrar; Mrs. M. Fielding, Cincinnati, Ohio, Supreme protector; Corene Davis, Kansas City, Kansas; Supreme lecturer; Emma J. Cockrill, Nashville, Tenn., Supreme matron; and Mrs. N. A. Kirk, Waco, Texas,"
broad-ax,1922-05-27,1,2,0.534,a committee of prominent colored citizens called upon the governor to present a petition,petition,The National Equal Rights League presented a petition with several thousand signatures to Senator Lodge to pressure the Judiciary Committee to report out the Dyer Anti-Lynching Bill.,"Washington, D.C.","National Equal Rights League, William Monroe Trotter, citizens of Massachusetts",1922 (week of publication),"Mrs. W. W. D. Reeves of Helena was elected chairman, and Mrs. Clio Harper of Little Rock, secretary. The membership of the committee includes prominent representatives of the various civic and religious organizations. The plan to be followed contemplates an organization in each community to forward the principles for which the committee stands.

Within the last few months similar organizations have been effected by the women of Georgia, Alabama, South Carolina, Virginia, Tennessee and Texas. It "
broad-ax,1917-07-21,1,2,0.534,a committee of prominent colored citizens called upon the governor to present a petition,delegation,"A Citizens Committee delegation visited Governor Frank O. Lowden in Springfield, Illinois to demand action regarding the East St. Louis riots and failures of the Illinois National Guard.","Springfield, Illinois","Citizens Committee members, Louis B. Anderson, Edward H. Wright, Col. S. B. Turner, Governor Frank O. Lowden","July 8-9, 1917 (meetings), July 10, 1917 (delegation to Springfield)","GOVERNOR LOWDEN AFTER PLEASE TIAL WOULD BE HELD WITH WHO FAILED TO DO THEIR DIV OF THEIR RESPECTIVE COMPANY.

GOVERNOR LOWDEN AFTER BEING CITIZENS THAT THOUSANDS OF ST. LOUIS, MO. RIGHT THE LOUIS AND DIRECTED THAT THE REPORT OF THE CITIZENS OF STATES PRAYING TO THAT E TION INTO THE CAUSES LEADED ILLINOIS, WERE ADOPTED BY ING HELD IN QUINN CHAPEN LOVING PASTOR PRESIDING.

BON. LAWRENCE Y. SHERMAN, U. FEDERAL GOVERNMENT TO ST. LOUIS, ILLINOIS. NINE RIOTS IN THAT CITY HAVE TO THE HAPPY HUNTING GROU"
denver-star,1916-12-09,1,2,0.534,colored citizens object to history textbooks and railroad discrimination,mass_meeting,"A mass meeting held in the Abbeville courthouse on November 6 where business men and community leaders denounced mob violence, pledged law and order, and planned protective measures for colored residents.","Abbeville, South Carolina (courthouse)","Business men of Abbeville, county leaders",November 6,"The Denver Star ESTABLISHED 1888

daughters of Crawford and their families to abandon their $20,000 home and get out of the State by November 15. After the meeting this mob proceeded to close up all the colored shops in Abbeville

The Columbia State, in a powerful editorial, pointed out that in view of the exodus of colored labor from the south to the northern industrial fields and the appoach of the new boll weevil, South Carolina's problem was to keep her colored men instead of serving notice "
colorado-statesman,1911-03-11,1,0,0.534,colored citizens object to history textbooks and railroad discrimination,demonstration,"Southern patrons, parents, and Confederate veterans expressed objections and excitement over the introduction of a history textbook containing passages critical of slavery and Robert E. Lee.","Roanoke, Virginia","Patrons of Roanoke College, parents, Confederate veterans","February 28, 1911","THE COLORADO STATESMAN

THE JOURNAL OF THE WEST.

LABOR SHALL BE FREE

RACE COUNTRY PARTY

Objectionable Text Book

SOuthern Howl over History of Slavery in the South. Object to Quotations from White Southern Women that White Wife was but Mistress of a Harem. Book Said also to Vilify Gen. Lee.

VOL. XVII.

Objectio

SOuthern Howl over History o
ject to Quotations from
that White Wife was b
Book Said also to

Roanoke, Va., Feb. 28.—The greatest excitement prevails here among the patrons of Roanok"
new-york-age,1919-05-03,1,1,0.534,a committee of prominent colored citizens called upon the governor to present a petition,petition,"The Southern Council of New York petitioned state officials to grant clemency to soldiers of the Twentieth Regiment convicted in connection with the 1917 Houston riot, arguing they deserve reconsideration now that the war has ended and justice has prevailed.",New York,"Executive committee of the Southern Council of New York, representing over 200,000 citizens",,"the executive committee of the Southern Council of the New York, in republican assemblies, and represent more than 200,000 loyal, patriotizations of the Empire State which we live, do hereby petition and pray your excellence and dignity to the forty-ninth States soldiers of the Twentieth Regiment who were called unity of participation in Houston, Texas, riot, August 1915, and sentenced to prison life. They were tried just to the United States entering world war and at a time and other conditions"
st-louis-argus,1925-11-20,1,6,0.534,a committee of prominent colored citizens called upon the governor to present a petition,demonstration,"Mississippi women leaders launched a campaign against lynching and mob violence, adopting and presenting a formal statement of protest against these practices at state-wide meetings.","Jackson, Mississippi","Representative Mississippi women, leaders in religious and civic groups, Mississippi Interracial Committee","November 16, 1925","Malone has just returned from an inspection tour of convict camps and said he found in four camps that prisoners guilty of infractions, of camp rules were put in stocks. One of these instruments, he said was padded. Another had the corners rounded off while a third had square holes so the edges would eat into the flesh of the offender.

At another camp, Mr. Malone said prisoners were strung up by their arms so that their toes would hardly touch ground. Inspections of other camps have revealed th"
baltimore-afro-american,1910-11-12,1,5,0.533,delegates to annual conference demands equal rights and attacks lynching,petition,"The National Negro Committee issued a circular appeal to the people of Great Britain and Europe opposing Dr. Booker T. Washington's statements about racial progress in America, demanding recognition of discrimination, disfranchisement, and lynchings as grave problems.",New York,"National Negro Committee (headquarters at 20 Vesey street, New York)","November 9, 1910","National Negro Committee Takes Issue With Opinions of Dr. Booker T. Washington

Disclaims Any Hostility to Him But Claims That the ""Negro Problem Is Worse Than at any Time In History of the Country""—Discrimination and Disfranchisement, Together Witn Lynchings Make life Miserable These Days. (Special to Afro-American Ledger.)

New York, Nov. 9—In a circular entitled ""Race Relations in the United States, the National Negro Committee, with headquarters at 20 Vesey street, this city, makes an appeal"
washington-tribune,1924-11-15,1,4,0.533,active and organized protests of colored women backed by numerous organizations,demonstration,"Colored employees vigorously protested the segregated display of names on memorial tablets at the Treasury office, with separate tablets created for white and colored soldiers who died in World War I.","Office of the Register of the Treasury, Washington",Colored employees of the Treasury office,"Armistice Day (November 11), 1924","The plaintiffs allege that ever since the platting and survey of the subdivision in which this property is situated, there has appeared, without interruption, a covenant in every deed of conveyance. It is as follows: ""Subject to the covenant running with the land that said lot or any improvements that may be erected thereon shall never be used or occupied for any purpose by Negroes or presons of the Negro race, or having Negro blood."" Murphy and his wife claim that the deed from the heirs of Mar"
tulsa-star,1920-02-28,1,0,0.533,colored men representing political league called upon presidential candidate for interview,petition,"A questionnaire with seven questions about racial discrimination and civil rights was sent to presidential candidates asking them to state their positions on voting rights, Jim Crow laws, Haiti, education, military service, and civil service segregation.",,"Presidential candidates including Herbert Hoover, W.G. McAdoo, Governor Goodrich, Nicholas Murray Butler, Attorney General Mitchell A. Palmer, Senator Hitchcock, Governor Cox, and others",1920-02-28,"Questionaires to Presidential Candidates

VOLUME IX.

Question

White House Aspirants to State Attitude Question

White House Aspirants are Asked to State Attitude on Race

amendment?
""3 Will you endeavor to bring about the abolition of ""Jim Crow"" cars in interstate traffic?
""4 Will you withdraw armed or other interference with the independence of Haiti?
""5 Will you urge national aid to elementary education without discrimination against Colored children?
""6 Will you pledge the apportionment of "
houston-informer,1920-02-21,1,6,0.533,delegates to annual conference demands equal rights and attacks lynching,boycott,"Over 16,000 African Americans withdrew from a white insurance company whose agent led a mob that lynched two men, causing significant financial losses to the company.","Jacksonville, Florida","16,000 African American members of the insurance company","Recently before February 21, 1920","Jacksonville, Fla.—The spirit of ""We must all pull together and get somewhere"" was demonstrated here recently when over 16,000 of our people severed their connection with a white insurance company after receiving information that one of the agents of the concern led a mob which lynched two men in the public thoroughfares.

WHITE MAN KILLED.

The trouble started when two men were arrested and placed in the city jail charged with the murder of a white man with whom they had been gambling. The enti"
omaha-monitor,1917-05-19,1,1,0.533,a committee of prominent colored citizens called upon the governor to present a petition,petition,Congressman Tinkham presented a petition from the NAACP to President Wilson protesting racial discrimination by the War Department against colored citizens seeking admission to officers' training camps.,"Washington, D.C.","Congressman Tinkham, NAACP (Butler R. Wilson, secretary), R. McCants Andrews",,"Washington, D. C.—Miss Jeanette Rankin of Montana, the only woman Congressman, is an object of interest wherever she appears, as well as to all visitors to the House of Representatives. Last Friday afternoon Miss Rankin was the center of interest and attraction at Howard University, when she was present upon invitation of the Alpha Kappa Alpha Sorority to lecture for them.

Miss Rankin was introduced by the presiding officer, Miss Maud Burley. She began her address with ""Men and Women"" and spoke"
baltimore-afro-american,1919-10-10,1,0,0.533,delegates to annual conference demands equal rights and attacks lynching,mass_meeting,"The fourth annual session of the National Race Congress held at Metropolitan Baptist Church in Washington to discuss remedies for anti-racial prejudices, lynching, suffrage rights, and racial discrimination.","Washington, D.C. (Metropolitan Baptist Church)","Delegates to the National Race Congress, including Episcopal ministers and racial leaders","October 23, 1919 (session started Wednesday, continuing through Sunday)","SOUTHERN CONGRESSMEN THREATENED BY ""BLACK HAND"" EPISCOPAL MINISTERS ASK FOR EIGHT COLORED BISHOPS NATIONAL RACE CONGRESS HOLDS MEETING IN WASHINGTON

TWO EDITIONS The First Edition Is Out Thursday Afternoon. The Last Edition Is The City Edition And Is Out At Noon Friday.

Entered in the Postoffice
ond-class matter und

ERN CON
COPAL M
VAL RAC

JERNIGAN
WELCOMES
DELEGATES.

Fourth Annual Session of
National Body Starts
Monday.

THOUSANDS ATTEND

SOUTHERN
EPISCO
NATIONA

SOUTHERNERS JERNE
FEAR SEC"
dallas-express,1921-06-04,1,6,0.532,appeal to colored people to come together and march forward for justice,delegation,"Colored women called on Governor McCray, likely to present grievances or demands regarding discrimination and racial issues.",Washington,"Colored women, speakers addressing issues of racial discrimination and harmony between races",1921-06-04,"A CHAMPION OF JUSTICE
A MESSENGER OF HOPE

AMITY OF RACES IS URGED BY SPEAKERS AT WASHINGTON CONVENTION.

Din. Miles in his address stated
he was a member of the
placement 4,000 feet and was in a
battle wore 285 killed and 1,246
killed. It did it itinerary of a single
day. It did it itinerary of a single
centre regiment was decorated with
centre regiment was decorated with
character of their service better than
character of their service better than

SAYS DISCRIMINATION
RIFE IN ARMY DECISIONS

A"
wisconsin-weekly-blade,1919-05-17,1,2,0.532,a committee of prominent colored citizens called upon the governor to present a petition,mass_meeting,An anti-lynching protest meeting organized in New York by the N.A.A.C.P.,New York,N.A.A.C.P. members and supporters; Principal Moton of Tuskegee refused to sign the call,,"Dr. Emmitt J. Scott, Special Assistant to the Secretary of War, taking up the matter directly with the War Department, made this reply upon the authority of the officials having charge of the question at issue, in a letter addressed to Editor Andrews, of the Baltimore Herald:

""With reference to the marked copy of The Daily Herald, containing an editorial, quoting an endorsement placed upon the discharge of a colored lieutenant who applied for retention in the service, I beg to say that this who"
new-york-age,1922-06-24,1,7,0.532,committee of graduates written condemning jim crow policy and demanding segregation be discontinued,petition,A committee of Harvard graduates sent a petition to President Lowell protesting the exclusion of Negro students from freshman dormitories at Harvard University.,Harvard University,"Harvard graduate committee including Moorfield Story (NAACP president), Rev. Dr. William Chambers, Charles C. Barkingham, Alfred Jeretski, John Bargatts, Edward Eyre Hunt, and Robert C. Barkingham",1922-06-24,"Andrew A. Copeland will do a singing and dancing specialty.

Tickets are 75 cents. Boxes are $5,
not including admission.

for incoming admission.
Dancing will follow immediately
after the show to Deacon Johnson's
symph.

The committee, drafting the guidelines which was sent to Harvard graduate all over the United States, defended the Rev. Dr. William Chambers, Corpsett of Rochester, N. Y., Univinial clergyman and author. A member of the class of 1850, Dr. Chambers materialized at Harvard in the"
colorado-statesman,1918-06-29,1,3,0.532,national association made public telegrams sent to governors with reference to lynchings,delegation,The NAACP protested to Wisconsin Governor Philipp against the exclusion of colored people from the Wisconsin State Tuberculosis Sanatorium.,Wisconsin,National Association for the Advancement of Colored People (NAACP) through secretary John R. Shillady,"June 17, 1918","The National Association for the Advancement of Colored People, through its secretary, John R. Shillady of New York, announces that it has protested to Governor Philipp of Wisconsin against the exclusion of colored people suffering from tuberculosis from the Wisconsin State Tuberculosis Sanatorium, Statesan, Wisconsin. The association directs the governor's attention to the fact that application blanks issued by the State Tuberculosis Sanatorium and sent broadcast to all physicians of the state "
wisconsin-weekly-blade,1916-10-12,1,0,0.532,delegates to annual conference demands equal rights and attacks lynching,mass_meeting,A National Citizenship Rights Congress and the 9th Annual Meeting of the National Equal Rights League convened to address rights of citizenship for African Americans.,"Washington, D.C.","180 delegates from 21 states, including leaders such as Wm. Monroe Trotter, J. H. Murphy, and Rev. Harvey Johnson","October 5-7, 1916","The Wisconsin Weekly Blade

Official Organ of Odd Fellows and Household of Ruth. Illinois and Wisconsin Jurisdiction. 7,000 Members

VOL. I

Great 3-Days Convention On Rights of Citizenship

By Colored Congress and National Equal Right Leagues

Washington, D. C., Oct. 7, 1916—Coming from all section of the country, even from California, Colored men and women assembled at the seat of Congress in the 50th year since Congress voted in favor of the 14th amendment conferring citizenship upon Colored "
kansas-city-advocate,1925-08-14,1,0,0.532,delegates to annual conference demands equal rights and attacks lynching,mass_meeting,A conference of students and graduates from 20 universities and colleges met to discuss problems of Negro students and adopted resolutions expressing grievances about institutional leadership and opposition to war.,"Nyack, New York","Graduates and students from 20 universities and colleges, including Louise Jackson (president of the intercollegiate association)","July 25-26, 1925","""PROBLEMS OF NEGRO STUDENTS"" SUBJECT OF CONFERENCE

20 UNIVERSITIES AND COLLEGES REPRESENTED

Nyack, New York, Aug. 12.—Under the auspices of the intercollegiate association of New York City, graduates and students from 20 universities and colleges met here in conference July 25 and 26 to discuss the ""Problems of Negro Students.""

The conferees are today jubilant. They have not only argued the problem, but they have also sent a resolution to the French War Ministry regretting the departure from "
houston-informer,1928-03-10,1,7,0.532,appeal to colored people to come together and march forward for justice,rally,A statewide organizational meeting called to reclaim political power and reassert African American political representation in Texas.,"Dallas, Texas",One hundred or more African American leaders and citizens,"Saturday, March 20, 1928","We owe this holden duty not merely to ourselves, our partisan organization and the social fabric, but this is an obligation which our families and posterity are expecting to fulfill and require.

On to Dallas, Texas, Saturday, March 20, one hundred (100) or more strong, to perfect a statewide organization for the express purpose of regaining our lost political ground, and reclaiming our party heritage which has been taken from the past by the enslaved African American usurpers, political interlo"
omaha-monitor,1917-08-18,1,0,0.532,a committee of prominent colored citizens called upon the governor to present a petition,parade|delegation|petition,"A delegation representing the Negro silent protest parade presented a petition to President Wilson's Secretary Tumulty protesting lynching and racial violence at East St. Louis and other industrial centers, demanding that lynching be made a national crime.","Washington, D.C. (delegation visit); New York (silent protest parade)","15,000 colored men, women and children in the silent protest parade; delegation headed by James Weldon Johnson, secretary of the NAACP","August 1, 1917 (delegation to White House); July 28, 1917 (silent protest parade in New York)","Growing Thank You!

$1.50 a Year. 5c a Copy

FOLLOW UP SILENT PROTEST PARADE

FOLLOW UP SILENT PROTEST PARADE

Greater New York Committee Goes to Washington.

JOHNSON SPEAKS FOR RACE

Petition to President and Congress Asks That Lynching Be Made a National Crime Punishable by Law—Nation Cannot Fight Battles of Civilization In Blood Smeared Garments.

Washington.—Negroes of the nation carried to the White House Wednesday, Aug. 1, their protest against the atrocious attacks made upon the race at E"
kansas-city-advocate,1918-10-18,1,6,0.531,protest to the president against riots and lynchings seeking public word of hope,delegation,The National Race Congress convened in annual conference and sent a formal delegation/petition to President Woodrow Wilson addressing grievances regarding mob violence and the rights of African Americans.,"Washington, D.C.",National Race Congress delegates from several states,"October 1, 1918","Headquarters National Race Congress, 903 3rd St., Washington, D.C., October 1, 1918.

Hon. Woodrow Wilson,
President of the United States,
Washington, D.C.

Mr. President:
The National Race Congress in annual conference of delegates from the several states, convened to consider the conditions of our people in the United States and to construct a program for the development of the social, economic and spiritual life of our race. We seek to foster the aims and aspirations of a free people; and to "
colorado-statesman,1922-06-03,1,2,0.532,speakers denounced the lynching and called for federal legislation to stop mob rule,petition,A call to action by Mr. Johnson urging African Americans to mobilize support for passage of the Dyer anti-lynching bill (H.R. 13) through telegrams to senators and joining the NAACP.,United States (national campaign),"African American citizens, the National Association for the Advancement of Colored People (NAACP)",1922-06-03 (publication date); May 1922 (period referenced for lynchings),"1. It would constitute a confession on the part of the federal government of inability to deal with America's shame and would leave the Negro hopeless of that protection against the mob owed him by the government to which he gives his allegiance.

2. It would be interpreted as a license to mobs and might be followed by a reign of lynching terror too horrible to be described.

3. It would be a repudiation of the pledge made by the Republican party in its national platform that action would be tak"
new-york-age,1909-01-21,1,1,0.531,active and organized protests of colored women backed by numerous organizations,petition,Negro citizens of Georgia submitted a petition to Congress protesting against a proposed bill to create a new judicial district in the southern part of the State.,Georgia,Negro citizens of Georgia,"January 19, 1909","co-users educators and la-
cations that the school sys-
tle probably reused to meet
the needs by training for the
well as college Definite
advanced steps in this
presented by Superin-
sion of the Columbus
Hawley president of the Co-
Federation of Labor, charged

dearth of mechanics to specializing by employers. He pleased to give members of trades the same right to give certificates of qualification as are now given in professions by representatives of the nation. John H. Morgan, in his book *Ob"
st-louis-argus,1921-10-07,1,6,0.531,delegates to annual conference demands equal rights and attacks lynching,delegation,Organization of the Federal Employees League to combat discriminatory practices against African Americans in federal government departments and to advocate for merit-based advancement.,"Washington, D.C.",Federal Employees League led by Perry W. Howard and other African American federal employees and officials,1921-10-05,"WASHINGTON, D. C. Oct. 5.—With a view to bringing all Federal Employees into a spirit of cooperation and breaking down the malicious discriminatory practices of subordinate Departamental chiefs toward our Race group in the various departments of Washington and throughout the country, and for the purpose of advancing those who are thus employed, and certified for employment, the Federal Employees League has been organized with headquarters of 1216 Pennsylvania avenue, N. W. Washington, D. C. and "
